canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
CC(C)=CC(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C([C@H](C)N(C)C)=CC[C@@H]32)[C@H]1O,CHEMBL496487,IC50,nM,48500.0,IC50,uM,48.5
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,CHEMBL659,IC50,nM,500.0,IC50,uM,0.5
C/C=C(\C)C(=O)N[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)NC)CC[C@H]4[C@@H]3CC[C@H]2[C@H]1OC(C)=O,CHEMBL504924,IC50,nM,8100.0,IC50,uM,8.1
CN[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C(=O)[C@@H](NC(=O)C=C(C)C)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL496259,IC50,nM,9900.0,IC50,uM,9.9
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,CHEMBL496255,IC50,nM,22100.0,IC50,uM,22.1
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,CHEMBL498645,IC50,nM,28000.0,IC50,uM,28.0
C[C@@H]([C@H]1CC=C2[C@@H]3CCC4=C[C@@H](N(C)C)CC[C@]4(C)[C@H]3CC[C@@]21C)N(C)C,CHEMBL496488,IC50,nM,24200.0,IC50,uM,24.2
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,CHEMBL659,IC50,nM,350.0,IC50,10'-7M,3.5
,CHEMBL2448138,IC50,nM,4.04,IC50,nM,4.04
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,CHEMBL1678,IC50,nM,11.6,IC50,nM,11.6
Cl.Nc1c2c(nc3cc(Cl)ccc13)CCCC2,CHEMBL486698,IC50,nM,8.32,IC50,nM,8.32
Cl.Nc1c2c(nc3ccccc13)CCCC2,CHEMBL1677,IC50,nM,205.0,IC50,nM,205.0
COc1cc2c(cc1OC)CC(CC1CCN(CCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2.Cl.Cl.Cl,CHEMBL3217103,IC50,nM,1.06,IC50,nM,1.06
COc1cc2c(cc1OC)CC(CC1CCN(CCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2.Cl.Cl.Cl,CHEMBL3216210,IC50,nM,2.6,IC50,nM,2.6
COc1cc2c(cc1OC)CC(CC1CCN(CCCNc3c4c(nc5ccccc35)CCCC4)CC1)C2.Cl.Cl,CHEMBL3216209,IC50,nM,2.16,IC50,nM,2.16
COc1cc2c(cc1OC)CC(CC1CCN(CCNc3c4c(nc5ccccc35)CCCC4)CC1)C2.Cl.Cl,CHEMBL3216208,IC50,nM,5.13,IC50,nM,5.13
COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2.Cl.Cl.Cl,CHEMBL3216655,IC50,nM,0.27,IC50,nM,0.27
COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2.Cl.Cl.Cl,CHEMBL3216422,IC50,nM,0.67,IC50,nM,0.67
COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCCNc3c4c(nc5ccccc35)CCCC4)CC1)C2.Cl.Cl,CHEMBL3216886,IC50,nM,0.88,IC50,nM,0.88
CN(CCCCCCCOc1ccc(-c2cc3ccccc3o2)cc1)Cc1ccccc1,CHEMBL497755,IC50,nM,32600.0,IC50,uM,32.6
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,CHEMBL636,IC50,nM,3030.0,IC50,uM,3.03
COc1ccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)cc1OC,CHEMBL504674,IC50,nM,177000.0,IC50,uM,177.0
COc1ccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)cc1,CHEMBL444427,IC50,nM,281000.0,IC50,uM,281.0
COc1cccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)c1,CHEMBL447857,IC50,nM,127000.0,IC50,uM,127.0
Cc1ccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)cc1,CHEMBL455790,IC50,nM,10500.0,IC50,uM,10.5
Cc1cccc(C(=O)c2c(-c3ccc(OCCCCCCCN(C)Cc4ccccc4)cc3)oc3ccccc23)c1,CHEMBL506588,IC50,nM,127000.0,IC50,uM,127.0
CN(CCCCCCCOc1ccc(-c2oc3ccccc3c2C(=O)c2ccccc2)cc1)Cc1ccccc1,CHEMBL511575,IC50,nM,40700.0,IC50,uM,40.7
CC(=O)c1c(-c2ccc(OCCCCCCCN(C)Cc3ccccc3)cc2)oc2ccccc12,CHEMBL511948,IC50,nM,17400.0,IC50,uM,17.4
O=C(NCc1ccccc1)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)c1ccccc1,CHEMBL523830,IC50,nM,221000.0,IC50,uM,221.0
CCN(CCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCCCCN(CC)Cc1ccccc1OC)C3=O)Cc1ccccc1OC,CHEMBL450553,IC50,nM,0.37,IC50,nM,0.37
CCN(CCCCCCn1c(=O)c2cc3c(=O)n(CCCCCCN(CC)Cc4ccccc4OC)c(=O)c3cc2c1=O)Cc1ccccc1OC,CHEMBL507903,IC50,nM,7.7,IC50,nM,7.7
CCN(CCCCCCN1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(CCCCCCN(CC)Cc3ccccc3OC)C4=O)cc2C1=O)Cc1ccccc1OC,CHEMBL507304,IC50,nM,14.0,IC50,nM,14.0
CCN(CCCCCCN1CCN(CCCCCCN(CC)Cc2ccccc2OC)C1=O)Cc1ccccc1OC,CHEMBL449941,IC50,nM,72.4,IC50,nM,72.4
